campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Men ComfortMax Launch,Adset-1 Retarget,2025-01-01,640.09,235597,4313.0,0.018306684720094057,80,1514.28,2.3657298192441685,Image,Breathable organic cotton that moves with you — limited offer on men briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,2025-02-01,373.75,276194,5429.0,0.019656473348443487,94,4152.81,11.111197324414716,Video,No ride‑up guarantee — best‑selling men briefs back in stock.,Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-03-01,703.79,466572,9830.0,0.02106855962209477,240,4893.43,6.952968925389676,UGC,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-04-01,441.5,193230,2424.0,0.012544635926098432,61,1330.1,3.012684031710079,Image,Cooling mesh panels for workouts — men athletic briefs you’ll actually love.,Lookalike,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-05-01,0.0,404300,6372.0,0.015760573831313383,181,7027.2,0.0,Video,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Lookalike,Instagram,IN
Men Comfortmax Launch,Adset-1 Retarget,2025-06-01,579.03,180096,2356.0,0.013081911869225303,41,1545.67,2.669412638377977,Image,Breathable bamboo that moves with you — limited offer on men boxers.,Lookalike,Instagram,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-07-01,1179.8,251885,4958.0,0.019683585763344384,102,3931.2,3.3320901847770807,Carousel,Cooling mesh panels for workouts — men boxers you’ll actually love.,Broad,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-08-01,362.78,24912,398.0,0.015976236351958894,9,238.39,0.6571200176415458,Image,Invisible under tees — seamless men boxers.,Lookalike,Instagram,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-09-01,774.2,138640,3297.0,0.023781015579919216,70,1692.43,2.1860371996900025,UGC,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-10-01,986.61,422525,7094.0,0.016789539080527778,198,7860.43,7.967109597510668,Image,No ride‑up guarantee — best‑selling men trunks back in stock.,Broad,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-11-01,1198.41,285985,4062.0,0.014203542143818733,90,2173.88,1.8139701771513923,UGC,Seamless confidence for every day — new men athletic briefs.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-12-01,62.54,271459,4223.0,0.015556677067255092,72,1529.02,24.4486728493764,Carousel,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,,861.17,176187,3487.0,0.01979147156146594,0,2364.53,2.745718034766655,Video,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,,320.85,321658,2925.0,0.009093509255171642,66,1446.2,4.5074022128720586,Video,Seamless confidence for every day — new men athletic briefs.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-1 Retarget,,699.17,134964,2740.0,0.020301710085652472,74,1806.8,2.5842069882861107,Image,Seamless confidence for every day — new men trunks.,Broad,Facebook,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,,338.87,57867,1356.0,0.02343304474052569,34,649.43,1.9164576386224805,UGC,"Push comfort, not wires — everyday men trunks.",Retargeting,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,,575.27,20426,197.0,0.009644570645256046,5,177.1,0.3078554417925496,Video,Hot & comfy: men inner vests now 20% off — feel the difference.,Broad,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,,697.57,81860,1228.0,0.015001221597849989,24,1031.2,1.4782745817624037,Video,Cooling mesh panels for workouts — men briefs you’ll actually love.,Lookalike,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,,296.84,347271,6665.0,0.01919250383706097,199,6427.81,21.65412343349953,UGC,"All‑day comfort, zero pinch — try our men trunks!",Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,,633.8,333615,5872.0,0.01760112704764474,0,3910.48,6.16989586620385,Image,Hot & comfy: men inner vests now 20% off — feel the difference.,Broad,Facebook,US
Men Comfortmax Lunch,Adset-1 Retarget,,794.13,338152,6489.0,0.019189595211620808,206,4272.38,5.37995038595696,Video,"Push comfort, not wires — everyday men boxers.",Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,,536.57,373787,4697.0,0.012565980090265312,133,4726.83,8.809344540320927,Video,Breathable microfiber that moves with you — limited offer on men inner vests.,Lookalike,Instagram,US
men co fortmax launch,Adset-1 Retarget,,825.98,300700,4489.0,0.014928500166278683,90,2264.44,2.741519165112957,Video,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,,445.9,305067,0.0,0.0,177,4527.81,10.15431711145997,UGC,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,,567.53,489752,7933.0,0.016197994086803117,225,9903.99,17.451042235652743,UGC,"Ultra‑soft waistband, no marks — premium men inner vests.",Broad,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,,796.36,98102,1600.0,0.016309555360746977,39,0.0,0.0,Image,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Instagram,IN
Men_ComfortMax_Launch,Adset-1 Retarget,,455.36,83162,1179.0,0.014177148216733604,29,1067.76,2.344869992972593,Video,3‑pack deal ends tonight — upgrade your men drawer with briefs.,Broad,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,,1398.53,423537,8159.0,0.019263960409598217,213,8425.0,6.0241825345183875,Video,Seamless confidence for every day — new men athletic briefs.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,,715.8,416262,6086.0,0.014620599526259903,166,4671.36,6.526068734283319,Carousel,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,IN
Men ComfortMax Lunch,Adset-1 Retarget,,0.0,157562,2038.0,0.012934590827737652,55,1178.68,0.0,Image,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Retargeting,Facebook,IN
Men ComfortMax Launch,Adset-1 Retarget,,0.0,121637,1530.0,0.012578409529994986,38,737.03,0.0,Video,3‑pack deal ends tonight — upgrade your men drawer with athletic briefs.,Broad,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,2025-01-02,783.06,507732,12757.0,0.025125459888287523,179,7065.13,9.022463157357036,Image,Invisible under tees — seamless men inner vests.,Broad,Facebook,US
men comfortmax launch,Adset-1 Retarget,2025-02-02,358.02,51855,1048.0,0.02021020152347893,29,842.21,2.3524104798614607,UGC,"All‑day comfort, zero pinch — try our men inner vests!",Broad,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,2025-03-02,742.66,375014,6447.0,0.017191358189294265,114,4991.08,6.720545067729513,UGC,Confidence starts inside — elevate with men athletic briefs.,Broad,Facebook,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-04-02,519.58,322754,2881.0,0.008926303004765239,61,1684.29,3.2416374764232647,Video,Confidence starts inside — elevate with men inner vests.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-1 Retarget,2025-05-02,350.47,252523,5734.0,0.0227068425450355,129,3709.99,10.58575627015151,Image,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Facebook,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-06-02,586.48,35014,828.0,0.023647683783629407,14,442.19,0.753972854999318,Video,Summer‑ready essentials — sweat‑wicking men briefs.,Lookalike,Facebook,US
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-07-02,110.27,25467,500.0,0.019633250873679665,12,341.77,3.0993924004715696,Image,Seamless confidence for every day — new men boxers.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-1 Retarget,2025-08-02,442.85,490264,7530.0,0.01535907184700488,181,4214.83,9.517511572767303,Video,"Wire‑free ease, cloud‑soft cups — men inner vests that fits right.",Lookalike,Instagram,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-09-02,702.25,23822,0.0,0.0,8,169.52,0.24139551441794235,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Men  ComfortMax  Launch,Adset-1 Retarget,2025-10-02,409.48,385416,5036.0,0.013066400979720614,135,5165.99,12.615976360261794,Image,"Ultra‑soft waistband, no marks — premium men trunks.",Lookalike,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-1 Retarget,2025-11-02,534.52,484824,6728.0,0.013877200798640332,152,5817.57,10.883727456409488,Image,"Push comfort, not wires — everyday men briefs.",Broad,Facebook,US
men comfortmax launch,Adset-1 Retarget,2025-12-02,165.23,268668,3995.0,0.01486965325234118,117,3335.49,20.18695152212068,Carousel,Breathable cotton that moves with you — limited offer on men inner vests.,Broad,Instagram,US
Men ComfortMax Launch,Adset-1 Retarget,,525.62,332973,5363.0,0.01610641103032378,125,4519.75,8.598892736197252,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Retargeting,Facebook,US
Men Comfortmax Launch,Adset-1 Retarget,,666.54,263165,4437.0,0.016860144776091046,117,3214.54,4.82272631800042,UGC,No ride‑up guarantee — best‑selling men briefs back in stock.,Retargeting,Instagram,US
Men Comfortmax Lau ch,Adset-1 Retarget,,165.12,368092,8592.0,0.023341990589309195,184,3733.47,22.61064680232558,UGC,Confidence starts inside — elevate with men inner vests.,Lookalike,Facebook,US
Men_ComfortMax_Launch,Adset-1 Retarget,,158.58,424902,5749.0,0.013530178723564492,202,7874.56,49.656703241266236,UGC,Invisible under tees — seamless men briefs.,Retargeting,Facebook,IN
men comfortmax launch,Adset-1 Retarget,,88.08,250079,4639.0,0.018550138156342596,130,4958.62,56.29677565849228,Carousel,"Push comfort, not wires — everyday men trunks.",Retargeting,Instagram,IN
Men Comfortmax Launch,Adset-1 Retarget,,1101.81,453248,6686.0,0.01475130612821237,185,8171.67,7.4165872518855345,Image,Seamless confidence for every day — new men athletic briefs.,Retargeting,Instagram,IN
Men ComfortMax Launch,Adset-1 Retarget,,497.0,330799,6566.0,0.01984891127240409,182,3499.32,7.040885311871228,Image,Cooling mesh panels for workouts — men briefs you’ll actually love.,Broad,Facebook,US
Men ComfortMax Launch,Adset-1 Retarget,,1199.51,243473,2439.0,0.010017537878943456,65,1983.79,1.6538336487399021,UGC,Seamless confidence for every day — new men boxers.,Broad,Instagram,IN
